;(,urgh
;),haha
:(,ugh
:),haha
:b,haha
1984,the oppression!
admin pm,pray to the gods
ahelp,pray to the gods
mhelp,ask an angel
admeme,god
admins,gods
afk,i am busy
bluepill,stupid
brb,be right back
bruh,man
bunga,barbarian
cuck,weakling
dope,nice
faggot,nancy boy
femboy,effeminate boy
feminazi,woman
Fortnite,game
fuk,fuck
gamer,brother
gamergirl,woman
gamers rise up,brothers let's fight
gtg,i have to go
g2g,i have to go
idc,I don't care
idfk,I don't know
idgaf,I don't give a fuck
idk,I don't know
incel,weakling
joker 2019,clown
libtard,idiot
lmao,hahaha
lol,hahaha
mfw,oh boy
Minecraft,game
noob,newbie
omg,oh my god
OwO,hmm
pm the admins,pray to the gods
redpill,smart
roblox,game
rofl,hahaha
smh,oh boy
soyboy,weakling
SS13,game
unbased,that's stupid
unga,barbarian
UwU,hmm
we live in a society,we reside in a human community
wdym,what do you mean
wtf,what the fuck
yeet,yeah
